"";"ID";"station";"variable";"changeSignal"
"1";1;2001;"deficit30";71,5584477770441
"2";1;6007;"deficit30";70,2685080571139
"3";1;6008;"deficit30";179,064111692592
"4";1;7002;"deficit30";121,706984320538
"5";1;8005;"deficit30";62,3510292125111
"6";1;8006;"deficit30";61,552670503896
"7";1;8009;"deficit30";133,037909749082
"8";1;10002;"deficit30";-5,84955772444506
"9";1;11001;"deficit30";71,8030939380488
"10";1;11002;"deficit30";19,9436067809101
"11";1;12008;"deficit30";75,027020576428
"12";1;13009;"deficit30";142,758007771195
"13";1;15006;"deficit30";105,571056841631
"14";1;15024;"deficit30";256,823719724299
"15";1;21017;"deficit30";387,828433700836
"16";1;27021;"deficit30";253,52779532551
"17";1;28009;"deficit30";-30,3939166450256
"18";1;28022;"deficit30";-19,729349822502
"19";1;28066;"deficit30";16,2757590805902
"20";1;37019;"deficit30";-100
"21";1;39007;"deficit30";35,5153059204075
"22";1;39090;"deficit30";-61,4567012771826
"23";1;42001;"deficit30";192,627622455586
"24";1;45011;"deficit30";Inf
"25";1;46003;"deficit30";Inf
"26";1;46006;"deficit30";Inf
"27";1;47001;"deficit30";500,392167376108
"28";1;47014;"deficit30";Inf
"29";1;48003;"deficit30";1054,23174280056
"30";1;48005;"deficit30";Inf
"31";1;49001;"deficit30";Inf
"32";1;50002;"deficit30";Inf
"33";1;55004;"deficit30";Inf
"34";1;56019;"deficit30";74,5854789467264
"35";1;58005;"deficit30";-90,1331465696741
"36";1;62001;"deficit30";1436,45030930596
"37";1;62002;"deficit30";Inf
"38";1;63001;"deficit30";485,741534749695
"39";1;63004;"deficit30";31703,766674123
"40";1;64001;"deficit30";Inf
"41";1;64002;"deficit30";237,769770894134
"42";1;74001;"deficit30";401,51002979287
"43";1;74005;"deficit30";3043,84493135661
"44";1;74007;"deficit30";563,435085991219
"45";1;81002;"deficit30";1047,26958580328
"46";1;81007;"deficit30";5400,42171305459
"47";1;84026;"deficit30";25,8710522325452
"48";1;85001;"deficit30";90,7869791702815
"49";1;85003;"deficit30";107,173475703685
"50";1;85004;"deficit30";124,643055416284
"51";1;89003;"deficit30";153,572139789623
"52";1;89004;"deficit30";144,960635732923
"53";1;90003;"deficit30";362,534047196579
"54";1;93001;"deficit30";183,840576850336
"55";1;94001;"deficit30";106,963534502569
"56";1;95001;"deficit30";70,7133926643271
"57";1;96002;"deficit30";54,7878898197872
"58";1;97002;"deficit30";59,4148618766264
"59";1;106001;"deficit30";Inf
"60";1;203097;"deficit30";5133,66275495837
"61";1;205008;"deficit30";Inf
"62";1;205011;"deficit30";160,536924539152
